PUBLISHER,TOTAL BOOKS,BOOK TITLES
Holy Faith International,225," ABC of Science and Technology: Physics, ABC of Social Science: Geography,A B C of general knowledge,ABC od Science and Technology,ABC od Science and Technology : Chemistry,ABC od Science and Technology : Chemistry,ABC of Computer,ABC of Computers,ABC of Computers,ABC of Computers,ABC of General Knowledge,Abc of General Knowledge,ABC of Geographical ATLAS,Abc of Information Technology,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Mathematics,ABC of Practocal Science,ABC of Practocal Science : Multiple choice Questions,ABC of Practocal Science : Multiple choice Questions,ABC of Science,ABC of Science,ABC of Science,ABC of Science : Multipal choice Questions,ABC of science : Physics,ABC of Science & Technology Practicle,ABC of Science & Technology Practicle,ABC of Science and Technolgy,ABC of Science and Technology,ABC of Science and Technology"
Holy faith international  Pvt.Ltd.,11,"Learnwell computer,Learnwell computers,Learnwell computers,Learnwell computers,Learnwell general knowledge,Learnwell general knowledge,Learnwell social science,Learnwell social science,Value education,Value education,Value education"
Holy Faith International (P) Ltd.,19,"Communicative english 8,English grammar and composition 7,Hindi surabhi 5,New learnwell science 7,New Learnwell SOCIAL STUDIES,New lernwell hindi surbhi: class 1,New lernwell hindi surbhi: class 2,New lernwell hindi surbhi: class 3,New lernwell hindi surbhi: class 4,New lernwell hindi surbhi: class 5,New lernwell hindi surbhi: class 6,New lernwell hindi surbhi: class 7,New lernwell hindi surbhi: class 8,Newlernwell communicative english: main coursebook, class 1,Newlernwell communicative english: main coursebook, class 2,Newlernwell communicative english: main coursebook, class 5,Newlernwell communicative english: main coursebook, class 8,Thinkeractive mathematics workbook 6,Workbook mathematics 8"
Indian thought publications,6,"Know for sure 8,Mr.Sampath,Swami and friends,Talkative Man,The dark room,The man eater of malgudi"
Indiannica learning private limited,45,"`Know for sure :general knowledge 7,Amber :coursebook 5,Galaxy : a course in science,Galaxy a course in science 6,Galaxy a course in science 7,Galaxy a course in science 8,Know for sure,Know for sure  general knowledge 7,Know for sure :general knowledge,Know for sure 3,Know for sure 4,Know for sure 4,Know for sure 4,Know for sure 5,Know for sure 5,Know for sure 6,Know for sure 6,Know for sure 8,Know for sure 8,Mathematics 6,Mathematics 7,Mathematics 8,Maths sight 7,Mathsight 6,Mathsight 6,Mathsight 7,Mathsight 8,Mathsight 8,MathsSpark : Course in mathematics 7,MathsSpark 6,Science 7,Science 7,Social science 8,Social science workbook 7,The english channel,The english channel,The english channel 6,The english channel 7,The english channel 7,The english channel 8,The english channel 8,The grammarite 6,The Grammarite 7,The grammarite 8,Workbook social science 6"
InOpen Technologies SINE IIT,3,"Computer Masti,Computer Masti,Computer Masti"
Inspiration Publication,81,"Around the Globe,Around the Globe,Around the Globe,Around the Globe A Book O Social Science,CBSE Mathematics 6,CBSE mathematics 8,CBSE mathematics: class 8,Cyber Byte Learning : Learning Computers,Cyberbyte : Learning Computer,Cyberbyte : lerning Computer,Cyberbyte: Lerning Computers,Discover Science 8,Environmenatal Studies,Environmental Studies,Exam mantra : sample question papers 10,Exam mantra : sample question papers 10,Exam mantra : sample question papers 10,Exam Mantra sample papers English Communicative,Exam Mantra sample papers English Communicative,Exam Mantra sample papers Foudation of Information Technology,Exam Mantra sample Question papers : English Communications,Exam Mantra sample Question papers : English Communications,Exam Mantra sample Question papers : English Communications,Exam Mantra sample Question papers : Foundation of Information Technology,Exam Mantra sample Question papers : Foundation of Information Technology,Exam Mantra sample Question papers Mathematics,Exam Mantra sample Que"
Inspiration Publishers,2,"Cyberbyte : Learning Computers,Tera Byte Plus : Learning Computers"
Inspire Books,1,Science: A book of science & Technology
Jaico publising house,10,"Katha Chanakya,Mega living,Mein Kampf,Of mystics and mistakes,The 5 am club,The adventures of Sherlock Holmes,The monk who sold his ferrari,The monk who sold his ferrari,The psychology of Money,Who will cry when you die?"
Jainco Publishers,25,"Alfred Nobel: biography,Bill gates :Pictorial Biography,Bill gates :Pictorial Biography,Devdas(Hindi),Dr Rajendra Prasad :Pictorial Biography,Dr.Bhimrao Ambedkar :Pictorial Biography,Dr.Sarvepalli Radhakrishnana : Biography,Gautam Buddha : Biography,J.K.Rowling :Pictorial Biography,Jagadish chandra Bose : Biography,Lal Bahadur shastri,Lokmanya bal gangadhar tilak,Mathematics Lab Manual,Mathematics: Lab Manual,Narendra Modi : Pictorial Biography,Neil Armstrong : biography,Sardar vallabhbhai patel:Pictorial Biography,Sarojini Naidu:Pictorial Biography,Science : Lab Manual,Science : Lab Manual,Science lab Manual,Science: Lab Manual,Steve Jobs:Biography,Subhash chandra bose :Pictorial Biography,Tipu Sultan : Biography"
Jay cee Publication,35,"Active Grammar,Active mathematics 5,Active Mathematics 5,Active Mathematics 6,Active mathematics 6,Active Mathematics 6,Active mathematics 7,Active Mathematics 7,Active mathematics 8,Active Mathematics 8,Blooming science 5,GK around the globe,GK around the globe 3,GK Around the globe 3,GK around the globe 4,GK around the globe 4,GK Around the globe 5,GK around the globe 5,GK Around the globe 6,GK around the globe 7,Living values 3,Living values 4,Living values 5,Living values 8,Madhuram,Madhuram 5,Madhuram 5,Madhuram 6,Madhuram 7,Madhuram 8,Madhuram Swar Vyanjan,Madhurum pathaypustak 3,Maduram 5,World around us 5,World around us 5"
Jay Cee Publication Educational Publishers,18,"Fundamental of Science,Fundamental of Science,Fundamental of Science,Fundamental of Science,G. K. Around the Globe,Grammar Roots,Grammar Roots,Learning Mathematics,Learning Maths in lab,Learning maths in lab,Living Mathematics,Living Values,Living Values,Living Values,Living with Computer Information Technology,Patterns,Science,Social Studies: Arround the Globe"
Jay Cee publication P.Ltd.,6,"Living Values,Living Values,Living Values,Living Values,Living Values,Living Values"
Jay Cee Publication Pvt.Ltd.,5,"Blooming science,Living values,Living values,Living values,Madhuram : pathyapustak 5"
Jay Cee Publications,25,"Active mathematics: class 1,Active mathematics: class 2,Active mathematics: class 3,Active mathematics: class 5,Fundamentals of Science,Fundamentals of Science & Technology,Lab manual in science,Lab Manual in Science,Lab manual in science: Physics, Chemistry and Biology,Lab Manual in Science: with sample Question papers,Learning Maths in Lab,Learning Maths in Lab,Learning Maths in Lab,Leraning Maths in lab,Living Mathematics,Living Values,Living with Computer: Problem Solving ""C"",Madhuram: hindi text cum workbook, class 1,Madhuram: hindi text cum workbook, class 2,Madhuram: hindi text cum workbook, class 3,Madhuram: hindi text cum workbook, class 4,Madhuram: hindi text cum workbook, class 5,Madhuram: hindi text cum workbook, class 6,Madhuram: hindi text cum workbook, class 7,Madhuram: hindi text cum workbook, class 8"
Jay Cee Publications P.Ltd.,3,"Active mathematics 7,Grammar Roots,Living with Computer: Interduction to Programming Prelininaries using ""C"""
Jeevan Prakashan,3,"Learning General Science,Wonder World of Environmental Studies,Wonder World of General Science"
Jeevandeep Prakashan Pvt. Ltd.,45,"Better Living,Better living : A book on morals and values,Brtter Living Moral Science eries,Computer @ school,Computer @ school : MS Word,English Grammar & Composition,English Grammar & Composition,English Grammar and Composition,General Knowledge,General Knowledge,General Knowledge,Information Technology,Jeevandeep general knowledge,Jeevandeep Value Education Series Better living,Jeevandeep Wonder World of general knowledge,Learing Social Studies: An Environment Approach,Learning Computer : A Graded Series of Computer Education For school,Learning Computers,Learning Computers ; a gradded Series of Computer education For schools,Learning Computers : A Graded series of Computer education for schools,Learning Computers : A Graded series of Computer education for schools,Learning Social studies: An Environmental Approch,Maths Perfect Clear Simple Enriching,Now Easy Grammar and Composition,Origmi Creative Craft Enjoy with Paper Folding,Spark Mathematics,Spark Mathematics,Spark Social Studies,Step by step Drawing "
Jiwan Publishing House,10,"Business studies,Economics 12,English core 12,English language and literature,Foundation of information theory,Gullver''s Travels,The Diary of a Young Girl: Anne Frank,Three in one science 10,Three Men in a Boat: Jerome K Jerome,Up from slavery"
Jiwan Publishing House (P) Ltd,11,"JPH CBSE 21 sample papers,  science,JPH CBSE 21 sample papers, english :Communicative,JPH CBSE 21 sample papers, hindi course- A,JPH CBSE 21 sample papers, hindi course- B,JPH CBSE 21 sample papers, mathematics,JPH CBSE 21 sample papers, sanskrit,JPH CBSE 21 sample papers, social Science,JPH CBSE 21 sample papers,economics,JPH CBSE 21 sample papers,english ;core,JPH CBSE 21 sample papers,political science,New Approach To Words And Expressions"
Jo Fletcher books,4,"Magic with English Grammar,Magic with English Grammar 7,The immortals of Meluha :the shiva trilogy book 1,The secret of the nagas:the shiva trilogy :book 2"
K.R.J Book international,2,"Selected works of George Eliot,The mayor of Casterbridge tess of the D'urbervilles"
Katha,3,"Earthsong,Jack and the beanstalk,The magical web bridge"
Kendriya Vidhyalaya Sangathan,1,Success magnet for JEE advanced 2016: Mathematics part2
Kids World Educational Books,7,"Standard  Mathematics 7,Standard Mathematics 5,Standard mathematics 6,Standard Mathematics 6,Standard Mathematics 7,Standard Mathematics 8,Standard Mathematics 8"
Kinderson Publications,1,Active social studies
Kinderston Publication,2,"Active social studies: teachers resource book, class 4,Active social studies: teachers resource book, class 5"
Kingfisher publication plc,3,"Funny stories,I wonder why Planes have wings,Whales and Dolphins"
Kips Publishing World,29,"Computer science with Python 11,Computer science with python 12,Cyber beans computer applications 10,Cyber beans computer applications 10,Cyber beans computer applications 9,Cyber beans computer applicatios 9,Cyber tools 8,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology,Foundation of information theory,Foundation of information theory,I. T. Tools Plus,I.T apps,I.T apps,I.T apps,I.T apps,I.T apps,I.T apps,I.T apps,I.T Tools Plus,I.T. Tools Plus Junior Series,I.T. Tools plus Junior Series,IT apps,IT apps,IT apps,IT apps,Ocean 6"
Kiyosaki Robert,2,"Raavan:enemy of aryavarta,Ram: scion of ikshvaku"
Kruti Prakashan Pvt. Ltd.,8,"CCE par aadharit hindi pathypustak megha: class 1,CCE par aadharit hindi pathypustak megha: class 2,CCE par aadharit hindi pathypustak megha: class 3,CCE par aadharit hindi pathypustak megha: class 4,CCE par aadharit hindi pathypustak megha: class 5,CCE par aadharit hindi pathypustak megha: class 6,CCE par aadharit hindi pathypustak megha: class 7,CCE par aadharit hindi pathypustak megha: class 8"
Kumar publication center,1,Numericals in Physics Darpan
Landmark Books Pvt. Ltd,9,"Blank blank,Golden Way,Golden Ways,Golden Ways,Landmark''s Science Unfolded : A book Science and technology,New Golden WAYS,New Silk Route : A Book of General Knowledge,Science Unfolded,Science unfolded"
Landmark Publishers,2,"Golden Ways,Golden ways"
"Langenscheidt, W.R.Goyal",1,Pocket French english dictionary
Laxmi Publication,97,"A practical workbook for CBSE Computer Science,A practical workbook for CBSE Computer science 11,Accountancy objective type question bank term1 12,Biology objective type question bank,Biology objective type question bank 11,Business studies,Business studies 11,Business studies 11,Business studies 12,Business Studies objective type question bank 12,CBSE Examkit in Hindi 9,CBSE Examkit in Social Science 9,CBSE Question bank in Accountancy term II 12,CBSE Question bank Physics termII 12,CBSE Question bank term 2,Chemistry objective type question bank term 1,Chemistry vol 1,Chemistry vol 1,Chemistry vol 1,Chemistry vol 2,Chemistry vol 2,Chemistry vol 2,Chemistry volume 1,Comprehensive functional english grammar and composition 9 & 10,Comprehensive mathematics,Comprehensive practical chemistry,Computer science with PYTHON 11,Computer science with Python 11,Computer science with python 11,Computer science with python 12,Economics objective type question bank term 1,Economics objective type question bank term1 12,En"
